02875F1/64.9,⿰扌毘
07448F2/164.9,⿰酉爰
04798F2/104.6,⿸疒⿱丿犮
02035F1/44.18,⿰居僉
01271F1/30.14,⿰吉常
02689F1/61.13,⿰忄𤋮
02541F1/61.7,⿰忄帋
02036F1/44.20,⿸尸⿱䀠鬼
02018F1/44.10,⿸尸鬼
06782F2/147.10,⿺見⑨
04599F2/96.9,⿰王峉
01750F1/38.8,⿱玨女
05535F2/118.12,⿱竹煮
03634F1/75.13,⿰木電
05012F2/109.8,⿰目庚
05508F2/118.10,⿱竹健
02828F1/64.7,⿰扌䖝
04204F1/86.2,⿱匕火
07667F2/168.6,⿰镸兊
07780F2/170.12,⿰阝童
06676F2/145.5,⿰衤民
05546F2/118.12,⿱竹渚
01783F1/38.13,⿰女⿳艹冖豕
07203F2/159.10,⿰車⿱𡗗田
01471F1/32.6,⿰土
03743F1/77.7,⿰⿻一止伐
00423F1/9.16,⿰亻䳆
08229F2/194.17,⿺鬼應
08225F2/194.10,⿺鬼栗
06138F2/140.4,⿱艹匂
08194F2/190.8,⿱髟非
06336F2/140.12,⿱艹𨓿
03816F1/78.14,⿲辛歹辛
02906F1/64.10,⿰扌座
06337F2/140.12,⿱艹⿱冖𢔀
06191F2/140.7,⿳艹宀戈
03365F1/74.4,⿰云月
01304F1/30.16,⿰口蕫
01305F1/30.15,⿰口𥛓
01185F1/30.11,⿰口欲
03643F1/75.14,⿰木⿱⿰丙丙木
01343F1/30.16,⿰口頴
05159F2/112.12,⿰石⿱丽木
01006F1/30.7,⿰口⿱日巾
03789F1/78.6,⿰歹宅
07061F2/157.7,⿰足含
08337F2/196.10,⿰索鳥
01440F1/31.24,⿱圓⿰阝⿰⿱禾木刂
01365F1/30.18,⿰⿱口䀠⿱𢩭厶
00897F1/28.7,⿱厶⿰夕厸
08172F2/189.5,⿰高犮
02256F1/50.20,⿰帝爾
01036F1/30.9,⿰口苾
00197F1/8.9,⿱戈
01245F1/30.13,⿰口罪
01344F1/30.16,⿰口穎
01186F1/30.11,⿰口⿱利手
00240F1/9.4,⿰亻日
00621F1/16.5,⿱央几
06226F2/140.9,⿱艹巷
00372F1/9.11,⿰亻⿱宀卓
06778F2/147.8,⿺見取
01407F1/30.32,⿱⿰吅吅⿰阝⿱賏𢩭
07218F2/159.14,⿰車爾
06896F2/149.13,⿰言愛
02907F1/64.10,⿰扌娑
04505F2/94.8,⿰犭夜
02384F1/57.7,⿰弓㞵
02703F1/61.15,⿰忄墨
06487F2/140.20,⿱艹⿰爾⿱丿犮
02609F1/61.10,⿰忄迴
01788F1/38.13,⿰女雽
04977F2/109.4,⿰目攵
05044F2/109.11,⿰目⿱自
00563F1/14.8,⿱冖卓
07630F2/167.14,⿰金⿱丷⑫
06343F2/140.12,⿱艹竦
